Date,device_id,device_type,brand,sales_quantity,price,region
2023-01-01,51,Samsung Phone,Samsung,78,465.76,East
2023-01-01,488,Samsung Watch,Samsung,66,330.6,East
2023-01-01,71,iPhone,Apple,39,981.94,West
2023-01-01,480,Samsung Phone,Samsung,18,834.13,West
2023-01-01,48,Samsung Phone,Samsung,70,697.94,East
2023-01-02,19,Samsung Watch,Samsung,59,584.45,South
2023-01-02,262,iPhone,Apple,32,635.39,West
2023-01-02,84,iPhone,Apple,21,988.59,West
2023-01-02,155,Samsung Phone,Samsung,40,705.8,South
2023-01-02,53,Apple Watch,Apple,92,588.55,West
2023-01-03,107,Samsung Phone,Samsung,27,1173.02,South
2023-01-03,357,Samsung Phone,Samsung,2,808.3,North
2023-01-03,304,Samsung Phone,Samsung,97,1189.5,South
2023-01-03,135,Samsung Phone,Samsung,80,641.8,North
2023-01-03,443,Samsung Watch,Samsung,39,166.98,West
2023-01-04,69,iPhone,Apple,86,749.1,North
2023-01-04,11,Samsung Watch,Samsung,56,367.32,South
2023-01-04,143,Samsung Watch,Samsung,13,323.98,North
2023-01-04,192,Samsung Watch,Samsung,56,203.38,East
2023-01-04,387,Samsung Phone,Samsung,66,746.13,South
2023-01-05,378,Apple Watch,Apple,78,402.87,South
2023-01-05,69,iPhone,Apple,56,710.36,North
2023-01-05,23,Apple Watch,Apple,28,377.67,West
2023-01-05,181,Samsung Watch,Samsung,64,637.54,West
2023-01-05,293,Samsung Watch,Samsung,71,316.13,South
2023-01-06,9,Apple Watch,Apple,82,628.37,South
2023-01-06,271,Apple Watch,Apple,64,567.23,North
2023-01-06,387,Apple Watch,Apple,56,456.31,South
2023-01-06,93,Samsung Watch,Samsung,41,281.46,South
2023-01-06,454,Samsung Watch,Samsung,100,352.96,West
2023-01-07,17,iPhone,Apple,41,1132.9,South
2023-01-07,154,iPhone,Apple,100,915.68,North
2023-01-07,405,Samsung Watch,Samsung,4,268.19,South
2023-01-07,328,Apple Watch,Apple,57,269.88,South
2023-01-07,149,Apple Watch,Apple,30,727.86,South
2023-01-08,377,iPhone,Apple,88,996.28,East
2023-01-08,267,Samsung Watch,Samsung,84,493.86,South
2023-01-08,422,iPhone,Apple,46,1041.37,North
2023-01-08,328,iPhone,Apple,56,1385.31,West
2023-01-08,106,Samsung Phone,Samsung,31,837.55,West
2023-01-09,472,Samsung Phone,Samsung,88,784.63,East
2023-01-09,381,Samsung Phone,Samsung,7,1139.68,North
2023-01-09,35,Apple Watch,Apple,90,631.81,West
2023-01-09,119,Samsung Watch,Samsung,77,211.35,West
2023-01-09,14,Samsung Watch,Samsung,54,247.74,South
2023-01-10,14,Samsung Watch,Samsung,8,582.92,South
2023-01-10,266,Samsung Watch,Samsung,55,609.72,South
2023-01-10,140,Samsung Phone,Samsung,69,836.15,East
2023-01-10,294,Apple Watch,Apple,44,532.67,South
2023-01-10,364,Apple Watch,Apple,13,579.16,North
2023-01-11,119,Samsung Phone,Samsung,93,751.29,East
2023-01-11,238,Apple Watch,Apple,20,608.12,West
2023-01-11,34,Samsung Phone,Samsung,78,486.79,West
2023-01-11,169,Samsung Watch,Samsung,32,678.7,North
2023-01-11,10,Samsung Phone,Samsung,60,1000.12,North
2023-01-12,122,Samsung Watch,Samsung,50,497.15,West
2023-01-12,401,Samsung Watch,Samsung,27,323.98,North
2023-01-12,145,iPhone,Apple,25,744.86,North
2023-01-12,451,Samsung Phone,Samsung,52,727.47,North
2023-01-12,446,iPhone,Apple,68,1195.42,South
2023-01-13,223,Samsung Phone,Samsung,21,906.97,West
2023-01-13,371,Samsung Phone,Samsung,18,706.11,North
2023-01-13,257,iPhone,Apple,39,1151.96,North
2023-01-13,268,iPhone,Apple,15,1332.37,South
2023-01-13,359,Samsung Phone,Samsung,53,421.03,West
2023-01-14,4,Apple Watch,Apple,38,470.37,East
2023-01-14,426,Samsung Watch,Samsung,48,567.21,West
2023-01-14,397,iPhone,Apple,52,1091.53,West
2023-01-14,354,Samsung Watch,Samsung,88,508.31,West
2023-01-14,106,Apple Watch,Apple,72,510.01,South
2023-01-15,85,Apple Watch,Apple,28,795.12,West
2023-01-15,214,Apple Watch,Apple,85,232.77,East
2023-01-15,121,iPhone,Apple,16,1041.94,North
2023-01-15,132,Apple Watch,Apple,16,254.85,West
2023-01-15,338,iPhone,Apple,35,743.81,South
2023-01-16,197,Apple Watch,Apple,17,429.82,West
2023-01-16,19,Samsung Watch,Samsung,73,235.55,West
2023-01-16,130,Samsung Watch,Samsung,99,680.03,East
2023-01-16,12,Samsung Phone,Samsung,52,1157.43,East
2023-01-16,81,Samsung Watch,Samsung,93,334.86,South
2023-01-17,330,Samsung Phone,Samsung,82,911.8,South
2023-01-17,354,Samsung Watch,Samsung,12,443.56,South
2023-01-17,262,iPhone,Apple,83,1334.03,South
2023-01-17,392,Samsung Watch,Samsung,48,495.1,South
2023-01-17,125,Samsung Phone,Samsung,22,400.2,North
2023-01-18,307,Samsung Phone,Samsung,49,1010.54,North
2023-01-18,267,Apple Watch,Apple,52,648.11,South
2023-01-18,447,iPhone,Apple,79,1058.75,South
2023-01-18,441,Samsung Watch,Samsung,1,646.61,North
2023-01-18,383,Apple Watch,Apple,66,745.07,East
2023-01-19,140,Samsung Watch,Samsung,64,438.15,North
2023-01-19,329,Samsung Watch,Samsung,8,484.39,South
2023-01-19,2,Apple Watch,Apple,86,797.91,East
2023-01-19,8,Apple Watch,Apple,25,379.29,South
2023-01-19,250,Apple Watch,Apple,66,394.77,West
2023-01-20,139,Apple Watch,Apple,73,309.66,East
2023-01-20,124,Apple Watch,Apple,73,737.52,South
2023-01-20,309,Samsung Watch,Samsung,77,559.47,North
2023-01-20,228,Apple Watch,Apple,70,263.39,South
2023-01-20,10,iPhone,Apple,94,1483.59,North
2023-01-21,469,Samsung Phone,Samsung,79,984.77,East
2023-01-21,212,Apple Watch,Apple,51,710.31,North
2023-01-21,112,Apple Watch,Apple,53,228.89,East
2023-01-21,8,Samsung Watch,Samsung,15,427.73,South
2023-01-21,292,Apple Watch,Apple,50,619.16,North
2023-01-22,477,Apple Watch,Apple,71,525.77,East
2023-01-22,362,Apple Watch,Apple,75,599.99,East
2023-01-22,460,Samsung Watch,Samsung,38,599.83,East
2023-01-22,253,Apple Watch,Apple,40,424.6,West
2023-01-22,14,Samsung Phone,Samsung,66,1078.93,East
2023-01-23,240,Samsung Watch,Samsung,39,239.6,South
2023-01-23,438,Samsung Phone,Samsung,74,616.71,South
2023-01-23,242,Samsung Watch,Samsung,17,173.84,South
2023-01-23,469,Apple Watch,Apple,7,418.66,East
2023-01-23,342,Samsung Phone,Samsung,39,703.93,South
2023-01-24,149,Samsung Watch,Samsung,68,592.9,East
2023-01-24,236,iPhone,Apple,35,1187.82,East
2023-01-24,306,Apple Watch,Apple,51,462.03,East
2023-01-24,478,Samsung Watch,Samsung,47,508.66,West
2023-01-24,167,iPhone,Apple,36,647.51,North
2023-01-25,20,Samsung Watch,Samsung,64,249.15,South
2023-01-25,216,iPhone,Apple,95,1164.25,West
2023-01-25,343,Apple Watch,Apple,89,584.82,South
2023-01-25,135,Samsung Phone,Samsung,13,1019.31,West
2023-01-25,393,iPhone,Apple,18,962.7,North
2023-01-26,129,Samsung Watch,Samsung,21,547.4,North
2023-01-26,410,Apple Watch,Apple,65,610.39,North
2023-01-26,422,iPhone,Apple,100,1467.05,North
2023-01-26,294,Samsung Watch,Samsung,8,268.32,East
2023-01-26,246,Samsung Watch,Samsung,48,453.42,South
2023-01-27,189,Samsung Watch,Samsung,85,480.97,South
2023-01-27,44,iPhone,Apple,43,1498.78,South
2023-01-27,86,iPhone,Apple,53,781.07,East
2023-01-27,44,iPhone,Apple,85,1070.9,South
2023-01-27,330,Samsung Phone,Samsung,27,676.95,North
2023-01-28,375,iPhone,Apple,19,1073.3,South
2023-01-28,446,iPhone,Apple,23,808.92,South
2023-01-28,378,iPhone,Apple,50,642.85,West
2023-01-28,390,Samsung Phone,Samsung,51,858.05,East
2023-01-28,145,iPhone,Apple,43,902.27,North
2023-01-29,51,Samsung Watch,Samsung,99,250.07,North
2023-01-29,242,iPhone,Apple,51,891.54,North
2023-01-29,294,Samsung Watch,Samsung,69,177.1,South
2023-01-29,408,Samsung Watch,Samsung,41,672.74,North
2023-01-29,51,Samsung Watch,Samsung,72,469.63,North
2023-01-30,266,Samsung Phone,Samsung,11,1051.81,West
2023-01-30,120,Samsung Phone,Samsung,80,738.49,South
2023-01-30,200,Samsung Phone,Samsung,88,1122.65,West
2023-01-30,405,iPhone,Apple,85,1034.99,East
2023-01-30,248,Samsung Watch,Samsung,52,465.67,South
2023-01-31,70,Samsung Phone,Samsung,23,793.44,West
2023-01-31,341,Samsung Phone,Samsung,49,986.62,East
2023-01-31,57,iPhone,Apple,38,1109.99,West
2023-01-31,382,Samsung Phone,Samsung,47,617.28,East
2023-01-31,39,iPhone,Apple,72,730.99,North
2023-02-01,472,Apple Watch,Apple,7,563.67,North
2023-02-01,289,Samsung Phone,Samsung,66,791.34,South
2023-02-01,443,Apple Watch,Apple,94,257.59,West
2023-02-01,18,iPhone,Apple,77,956.06,West
2023-02-01,440,Samsung Watch,Samsung,62,433.13,East
2023-02-02,220,Samsung Phone,Samsung,87,1061.51,South
2023-02-02,313,iPhone,Apple,29,668.49,North
2023-02-02,244,Samsung Watch,Samsung,38,341.67,West
2023-02-02,352,Samsung Watch,Samsung,84,602.46,East
2023-02-02,460,Apple Watch,Apple,33,589.05,North
2023-02-03,304,iPhone,Apple,29,860.96,North
2023-02-03,298,Samsung Watch,Samsung,79,614.93,North
2023-02-03,283,Samsung Phone,Samsung,23,794.63,East
2023-02-03,74,Samsung Phone,Samsung,3,798.68,East
2023-02-03,110,Apple Watch,Apple,93,785.95,North
2023-02-04,180,Samsung Watch,Samsung,45,670.91,East
2023-02-04,426,iPhone,Apple,8,922.68,North
2023-02-04,32,Samsung Phone,Samsung,86,512.46,North
2023-02-04,234,Samsung Watch,Samsung,29,329.12,North
2023-02-04,282,Samsung Watch,Samsung,2,166.77,East
2023-02-05,25,Apple Watch,Apple,50,212.46,South
2023-02-05,331,Samsung Phone,Samsung,65,716.42,South
2023-02-05,279,Samsung Phone,Samsung,20,1152.82,East
2023-02-05,226,iPhone,Apple,52,1384.22,West
2023-02-05,57,Samsung Phone,Samsung,85,809.15,East
2023-02-06,180,iPhone,Apple,37,1108.7,West
2023-02-06,232,Samsung Phone,Samsung,72,404.75,North
2023-02-06,382,Apple Watch,Apple,27,329.3,West
2023-02-06,343,Samsung Phone,Samsung,47,419.82,North
2023-02-06,477,iPhone,Apple,99,1279.09,South
2023-02-07,287,iPhone,Apple,6,731.08,North
2023-02-07,64,Apple Watch,Apple,60,721.43,West
2023-02-07,455,Samsung Phone,Samsung,45,914.66,South
2023-02-07,232,Samsung Phone,Samsung,44,583.53,South
2023-02-07,289,Apple Watch,Apple,83,294.63,East
2023-02-08,213,Samsung Phone,Samsung,18,902.1,West
2023-02-08,258,Samsung Phone,Samsung,65,1120.67,West
2023-02-08,18,iPhone,Apple,25,1246.52,East
2023-02-08,175,Samsung Phone,Samsung,27,678.84,East
2023-02-08,417,Samsung Phone,Samsung,7,869.91,South
2023-02-09,229,Apple Watch,Apple,44,386.46,East
2023-02-09,226,Apple Watch,Apple,29,799.49,South
2023-02-09,84,Samsung Watch,Samsung,95,561.86,West
2023-02-09,291,iPhone,Apple,44,1152.94,East
2023-02-09,435,Samsung Phone,Samsung,36,738.61,West
2023-02-10,370,Samsung Phone,Samsung,19,894.52,South
2023-02-10,246,Samsung Watch,Samsung,6,337.89,North
2023-02-10,402,Samsung Phone,Samsung,25,423.09,North
2023-02-10,110,iPhone,Apple,31,955.58,West
2023-02-10,254,Samsung Watch,Samsung,9,661.76,South
2023-02-11,88,iPhone,Apple,84,1163.67,South
2023-02-11,72,Samsung Watch,Samsung,74,196.18,North
2023-02-11,381,Samsung Watch,Samsung,37,636.75,South
2023-02-11,30,Apple Watch,Apple,27,361.32,South
2023-02-11,172,iPhone,Apple,13,819.39,West
2023-02-12,309,Samsung Phone,Samsung,41,637.67,North
2023-02-12,394,Samsung Phone,Samsung,66,861.76,South
2023-02-12,343,iPhone,Apple,85,1090.22,West
2023-02-12,436,Samsung Phone,Samsung,97,793.13,East
2023-02-12,177,Samsung Phone,Samsung,24,974.03,North
2023-02-13,139,iPhone,Apple,44,884.88,West
2023-02-13,194,Samsung Watch,Samsung,98,580.14,East
2023-02-13,186,iPhone,Apple,60,757.79,South
2023-02-13,218,Samsung Watch,Samsung,9,580.44,South
