Date,y
"Mar 1, 2024",484
"Mar 1, 2024",441
"Mar 1, 2024",484
"Mar 1, 2024",448.025
"Mar 1, 2024",484
"Mar 1, 2024",572
"Mar 1, 2024",441
"Mar 1, 2024",484
"Mar 1, 2024",484
"Mar 1, 2024",110
"Mar 1, 2024",392
"Mar 1, 2024",484
"Mar 1, 2024",484
"Mar 1, 2024",572
"Mar 1, 2024",484
"Mar 1, 2024",110
"Mar 1, 2024",311
"Mar 1, 2024",441
"Mar 1, 2024",397
"Mar 1, 2024",283.729
"Mar 1, 2024",434
"Mar 1, 2024",484
"Mar 1, 2024",484
"Mar 1, 2024",441
"Mar 1, 2024",110
"Mar 1, 2024",441
"Mar 1, 2024",572
"Mar 1, 2024",484
"Mar 1, 2024",484
"Mar 1, 2024",484
"Mar 1, 2024",94
"Mar 1, 2024",110
"Mar 1, 2024",484
"Mar 1, 2024",206
"Mar 1, 2024",110
"Mar 1, 2024",441
"Mar 1, 2024",484
"Mar 1, 2024",484
"Mar 1, 2024",484
"Mar 1, 2024",484
"Mar 1, 2024",472
"Mar 1, 2024",572
"Mar 1, 2024",528
"Mar 1, 2024",406
"Mar 1, 2024",397
"Mar 1, 2024",484
"Mar 1, 2024",441
"Mar 1, 2024",484
"Mar 1, 2024",390.821
"Mar 1, 2024",572
"Mar 1, 2024",441
"Mar 1, 2024",484
"Mar 1, 2024",484
"Mar 1, 2024",110
"Mar 1, 2024",110
"Mar 1, 2024",484
"Mar 1, 2024",441
"Mar 1, 2024",94
"Mar 1, 2024",572
"Mar 1, 2024",303
"Mar 1, 2024",484
"Mar 1, 2024",441
"Mar 1, 2024",110
"Mar 1, 2024",484
"Mar 1, 2024",484
"Mar 1, 2024",175
"Mar 1, 2024",110
"Mar 1, 2024",172
"Mar 1, 2024",441
"Mar 1, 2024",397
"Mar 1, 2024",522
"Mar 1, 2024",484
"Mar 1, 2024",160
"Mar 1, 2024",441
"Mar 1, 2024",110
"Mar 1, 2024",441
"Mar 1, 2024",572
"Mar 1, 2024",110
"Mar 1, 2024",441
"Mar 1, 2024",110
"Mar 1, 2024",484
"Mar 1, 2024",441
"Mar 1, 2024",110
"Mar 1, 2024",528
"Mar 1, 2024",472
"Mar 1, 2024",484
"Mar 1, 2024",397
"Mar 1, 2024",441
"Mar 1, 2024",110
"Mar 1, 2024",303
"Mar 1, 2024",341.25
"Mar 1, 2024",110
"Mar 1, 2024",441
"Mar 1, 2024",484
"Mar 1, 2024",441
"Mar 1, 2024",484
"Mar 1, 2024",397
"Mar 1, 2024",484
"Mar 1, 2024",484
"Mar 1, 2024",303
"Mar 1, 2024",0
"Mar 1, 2024",484
"Mar 1, 2024",441
"Mar 1, 2024",361.81
"Mar 1, 2024",24
"Mar 1, 2024",110
"Mar 1, 2024",484
"Mar 1, 2024",311
"Mar 1, 2024",484
"Mar 1, 2024",341.25
"Mar 1, 2024",441
"Mar 1, 2024",572
"Mar 1, 2024",441
"Mar 1, 2024",484
"Mar 1, 2024",341.25
"Mar 1, 2024",397
"Mar 1, 2024",160
"Mar 1, 2024",484
"Mar 1, 2024",484
"Mar 1, 2024",110
"Mar 1, 2024",441
"Mar 1, 2024",110
"Mar 1, 2024",110
"Mar 1, 2024",484
"Mar 1, 2024",397
"Mar 1, 2024",441
"Mar 1, 2024",110
"Mar 1, 2024",341.25
"Mar 1, 2024",484
"Mar 1, 2024",110
"Mar 1, 2024",441
"Mar 1, 2024",484
"Mar 1, 2024",110
"Mar 1, 2024",441
"Mar 1, 2024",441
"Mar 1, 2024",441
"Mar 1, 2024",94
"Mar 1, 2024",110
"Mar 1, 2024",110
"Mar 1, 2024",441
"Mar 1, 2024",484
"Mar 1, 2024",110
"Mar 2, 2024",110
"Mar 2, 2024",441
"Mar 2, 2024",110
"Mar 2, 2024",472
"Mar 2, 2024",441
"Mar 2, 2024",441
"Mar 2, 2024",484
"Mar 2, 2024",397
"Mar 2, 2024",572
"Mar 2, 2024",572
"Mar 2, 2024",572
"Mar 2, 2024",484
"Mar 2, 2024",615
"Mar 2, 2024",572
"Mar 2, 2024",295.143
"Mar 2, 2024",484
"Mar 2, 2024",441
"Mar 2, 2024",572
"Mar 2, 2024",484
"Mar 2, 2024",110
"Mar 2, 2024",110
"Mar 2, 2024",484
"Mar 2, 2024",441
"Mar 2, 2024",484
"Mar 2, 2024",110
"Mar 2, 2024",311
"Mar 2, 2024",110
"Mar 2, 2024",441
"Mar 2, 2024",397
"Mar 2, 2024",110
"Mar 2, 2024",24
"Mar 2, 2024",283.729
"Mar 2, 2024",484
"Mar 2, 2024",110
"Mar 2, 2024",484
"Mar 2, 2024",110
"Mar 2, 2024",572
"Mar 2, 2024",110
"Mar 2, 2024",484
"Mar 2, 2024",441
"Mar 2, 2024",572
"Mar 2, 2024",303
"Mar 2, 2024",441
"Mar 2, 2024",572
"Mar 2, 2024",397
"Mar 2, 2024",110
"Mar 2, 2024",368
"Mar 2, 2024",484
"Mar 2, 2024",397
"Mar 2, 2024",484
"Mar 2, 2024",441
"Mar 2, 2024",110
"Mar 2, 2024",484
"Mar 2, 2024",441
"Mar 2, 2024",110
"Mar 2, 2024",484
"Mar 2, 2024",441
"Mar 2, 2024",311
"Mar 2, 2024",441
"Mar 2, 2024",175
"Mar 2, 2024",110
"Mar 2, 2024",484
"Mar 2, 2024",289.424
"Mar 2, 2024",484
"Mar 2, 2024",441
"Mar 2, 2024",110
"Mar 2, 2024",572
"Mar 2, 2024",472
"Mar 2, 2024",484
"Mar 2, 2024",484
"Mar 2, 2024",441
"Mar 2, 2024",441
"Mar 2, 2024",441
"Mar 2, 2024",434
"Mar 2, 2024",528
"Mar 2, 2024",441
"Mar 2, 2024",484
"Mar 2, 2024",110
"Mar 2, 2024",110
"Mar 2, 2024",441
"Mar 2, 2024",441
"Mar 2, 2024",484
"Mar 2, 2024",484
"Mar 2, 2024",110
"Mar 2, 2024",441
"Mar 2, 2024",484
"Mar 2, 2024",441
"Mar 2, 2024",363.81
"Mar 2, 2024",441
"Mar 2, 2024",484
"Mar 2, 2024",484
"Mar 2, 2024",484
"Mar 2, 2024",484
"Mar 2, 2024",94
"Mar 2, 2024",110
"Mar 2, 2024",484
"Mar 2, 2024",484
"Mar 2, 2024",441
"Mar 2, 2024",110
"Mar 2, 2024",484
"Mar 2, 2024",303
"Mar 2, 2024",441
"Mar 2, 2024",110
"Mar 2, 2024",397
"Mar 2, 2024",303
"Mar 2, 2024",110
"Mar 2, 2024",572
"Mar 2, 2024",435
"Mar 2, 2024",110
"Mar 2, 2024",110
"Mar 2, 2024",397
"Mar 2, 2024",110
"Mar 2, 2024",441
"Mar 2, 2024",484
"Mar 2, 2024",484
"Mar 2, 2024",406
"Mar 2, 2024",434
"Mar 2, 2024",484
"Mar 2, 2024",303
"Mar 2, 2024",441
"Mar 2, 2024",397
"Mar 2, 2024",484
"Mar 2, 2024",341.25
"Mar 2, 2024",484
"Mar 2, 2024",441
"Mar 2, 2024",441
"Mar 2, 2024",397
"Mar 2, 2024",441
"Mar 2, 2024",368
"Mar 2, 2024",110
"Mar 2, 2024",484
"Mar 2, 2024",484
"Mar 2, 2024",441
"Mar 2, 2024",311
"Mar 2, 2024",572
"Mar 2, 2024",397
"Mar 2, 2024",472
"Mar 2, 2024",572
"Mar 2, 2024",110
"Mar 2, 2024",348
"Mar 2, 2024",484
"Mar 2, 2024",441
"Mar 2, 2024",484
"Mar 2, 2024",110
"Mar 2, 2024",572
"Mar 2, 2024",484
"Mar 2, 2024",572
"Mar 2, 2024",397
"Mar 2, 2024",441
"Mar 2, 2024",441
"Mar 2, 2024",484
"Mar 2, 2024",110
"Mar 2, 2024",392
"Mar 2, 2024",441
"Mar 2, 2024",110
"Mar 2, 2024",397
"Mar 2, 2024",484
"Mar 2, 2024",397
"Mar 2, 2024",484
"Mar 2, 2024",160
"Mar 2, 2024",484
"Mar 2, 2024",220.125
"Mar 2, 2024",341.25
"Mar 2, 2024",435
"Mar 2, 2024",60
"Mar 2, 2024",572
"Mar 2, 2024",484
"Mar 2, 2024",484
"Mar 3, 2024",341.25
"Mar 3, 2024",441
"Mar 3, 2024",448.025
"Mar 3, 2024",303
